id,pertanyaan,jawaban_satu,jawaban_dua,type_satu,type_dua
34,Kamu adalah tipikal orang yang?,Menarik kesimpulan dengan lama dan hati-hati,menarik kesimpulan dengan cepat sesuai naluri,S,N
35,Kamu adalah tipikal orang yang?,Mengekspresikan semangat,Menyimpan semangat dalam hati,E,I
36,Kamu adalah tipikal orang yang?,Mengklarifikasi ide dan teori sebelum dipraktekkan,Memahami ide dan teori saat mempraktekkannya langsung,S,N
37,Kamu adalah tipikal orang yang?,Melibatkan perasaan itu tidak profesional,Terlalu kaku pada peraturan dan pekerjaan itu kejam,T,F
38,Kamu adalah tipikal orang yang?,Mencari kesempatan untuk berkomunikasi secara perorangan,Memilih berkomunikasi pada sekelompok orang,I,E
39,Kamu adalah tipikal orang yang?,Yang penting situasi harmonis terjaga,Yang penting tujuan tercapai,F,T
40,Kamu adalah tipikal orang yang?,"Ketidakpastian itu seru, menegangkan dan membuat hati lebih senang",Ketidakpastian membuat bingung dan meresahkan,P,J
41,Kamu adalah tipikal orang yang?,Berfokus pada masa kini (apa yang bisa diperbaiki sekarang),Berfokus pada masa depan (apa yang mungkin dicapai di masa depan),S,N
42,Kamu adalah tipikal orang yang?,Mempertanyakan,Mengakomodasi,T,F
43,Kamu adalah tipikal orang yang?,Secara konsisten mengamati dan mengingat detail,Mengamati dan mengingat detail hanya bila berhubungan dengan pola,S,N
44,Kamu adalah tipikal orang yang?,Situasi last minute membuat bersemangat dan memunculkan potensi,"Situasi last minute sangat menyiksa, membuat stress dan merupakan kesalahan",P,J
45,Kamu adalah tipikal orang yang?,"Lebih suka komunikasi tidak langsung (telp, surat, e-mail)",Lebih suka komunikasi langsung (tatap muka),I,E
46,Pilihlah salah satu!,Praktis,Konseptual,S,N
47,Kamu adalah tipikal orang yang?,Perubahan adalah musuh,Perubahan adalah semangat hidup,J,P
48,Bagaimana pendapat orang lain tentang dirimu,Sering dianggap keras kepala,Sering dianggap terlalu memihak,T,F
49,Kamu adalah tipikal orang yang?,Bersemangat saat menolong orang keluar dari kesalahan dan meluruskan,Bersemangat saat mengkritik dan menemukan kesalahan,T,F
50,Kamu adalah tipikal orang yang?,Bertindak sesuai situasi dan kondisi yang terjadi saat itu,Bertindak sesuai apa yang sudah direncanakan,P,J
51,Kamu adalah tipikal orang yang?,Menggunakan keterampilan yang sudah dikuasai,Menyukai tantangan untuk menguasai keterampilan baru,S,N
52,Ketika bertemu dengan orang baru kamu biasanya?,Membangun ide pada saat berbicara,Membangun ide dengan matang baru membicarakannya,E,I
53,Kamu adalah tipikal orang yang?,Memilih cara yang sudah ada dan sudah terbukti,Memilih cara yang unik dan belum dipraktekkan orang lain,S,N
54,Kamu adalah tipikal orang yang?,Hidup harus sudah diatur dari awal,Hidup seharusnya mengalir sesuai kondisi,J,P
55,Mana yang lebih menarik untukmu,Standar harus ditegakkan di atas segalanya (itu menunjukkan kehormatan dan harga diri),Perasaan manusia lebih penting dari sekadar standar (yang adalah benda mati),T,F
56,Kamu adalah tipikal orang yang?,Daftar dan checklist adalah panduan penting,Daftar dan checklist adalah tugas dan beban,J,P
57,Kamu adalah tipikal orang yang?,Menuntut perlakuan yang adil dan sama pada semua orang,Menuntut perlakuan khusus sesuai karakteristik masing-masing orang,T,F
58,Kamu adalah tipikal orang yang?,Mementingkan sebab-akibat,Mementingkan nilai-nilai personal,T,F
59,Mana yang lebih menarik untukmu,Puas ketika mampu beradaptasi dengan momentum yang terjadi,Puas ketika mampu menjalankan semuanya sesuai rencana,P,J
60,"Menurutmu, kamu adalah orang yang","Spontan, Easy Going, fleksibel","Berhati-hati, penuh pertimbangan, kaku",E,I
